date,location,total_cases
2020/3/14,Kenya,1
2020/3/15,Kenya,1
2020/3/16,Kenya,3
2020/3/17,Kenya,3
2020/3/18,Kenya,4
2020/3/19,Kenya,7
2020/3/20,Kenya,7
2020/3/21,Kenya,7
2020/3/22,Kenya,7
2020/3/23,Kenya,15
2020/3/24,Kenya,16
2020/3/25,Kenya,25
2020/3/26,Kenya,25
2020/3/27,Kenya,31
2020/3/28,Kenya,31
2020/3/29,Kenya,38
2020/3/30,Kenya,42
2020/3/31,Kenya,50
